date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-10-16 00:00:00,7.6,0,12,0.2,,,7.6,,1021,
2025-10-17 00:00:00,11.2,7,14,0,,,8.2,,1019.3,
2025-10-18 00:00:00,8,4,11,0.4,,,10.5,,1015.5,
2025-10-19 00:00:00,11.1,9,13,4.6,,,13.9,,1009.9,
2025-10-20 00:00:00,11,9,12,1.9,,,9.9,,1025.7,
2025-10-21 00:00:00,10.2,6,14,0,,,6.2,,1021.1,
2025-10-22 00:00:00,7.9,2,13,0.7,,,4.4,,1014.6,
2025-10-23 00:00:00,14.5,8,17,0,,,17.7,,1016.2,
2025-10-24 00:00:00,12.7,6,16,1.3,,,19.9,,1005.2,
2025-10-25 00:00:00,9.2,6,13,3.6,,,17.9,,999.6,
2025-10-26 00:00:00,7.7,6,10,4.5,,,12.7,,1010,
2025-10-27 00:00:00,7.4,2,11,2.3,,,8.7,,1024.7,
2025-10-28 00:00:00,7.5,3,14,9.3,,,12.5,,1020.1,
2025-10-29 00:00:00,10.2,4,13,0.8,,,11.5,,1027.9,
2025-10-30 00:00:00,5.8,3,11,0,,,2.3,,1023.7,
2025-10-31 00:00:00,7.6,2,13,2.9,,,9.7,,1014.3,
2025-11-01 00:00:00,10.8,9,12,1.8,,,7.6,,1010.8,
2025-11-02 00:00:00,8.6,5,12,0.8,,,9.3,,1026.1,
2025-11-03 00:00:00,6.2,1,10,0,,,6,,1015,
2025-11-04 00:00:00,6.5,-1,13,0,,,8.2,,1012.5,
2025-11-05 00:00:00,12.5,9,16,0.3,,,21,,1000.3,
2025-11-06 00:00:00,11.8,10,14,4.4,,,23,,1008.2,
2025-11-07 00:00:00,9.3,6,12,1.2,,,10,,1020.6,
2025-11-08 00:00:00,7.5,1,13,0,,,7.5,,1022.4,
2025-11-09 00:00:00,9.7,3,16,0.4,,,3.8,,1019.9,
2025-11-10 00:00:00,11.8,10,14,2.1,,,9.2,,1022.2,
2025-11-11 00:00:00,7.4,2,12,0,,,5.2,,1020.5,
2025-11-12 00:00:00,6.5,2,9,0.7,,,3.2,,1009.8,
2025-11-13 00:00:00,9.3,7,13,3.9,,,5.2,,1003.1,
2025-11-14 00:00:00,6.9,6,8,0.3,,,1.7,,1009.8,
2025-11-15 00:00:00,8,6,9,1.2,,,9.2,,1012.7,
2025-11-16 00:00:00,9.9,7,13,4,,,4.5,,1001,
