date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-10-16 00:00:00,10.2,4,14,0,,,8.5,,1021.9,
2025-10-17 00:00:00,12.8,11,16,0.7,,,6.4,,1020.1,
2025-10-18 00:00:00,10.5,8,13,1,,,8.1,,1016.8,
2025-10-19 00:00:00,13,10,17,1.3,,,18.3,,1012.5,
2025-10-20 00:00:00,12.2,10,15,0.3,,,8.4,,1026.8,
2025-10-21 00:00:00,10.8,7,16,0,,,4.2,,1021,
2025-10-22 00:00:00,12,8,17,0.8,,,11.5,,1015.7,
2025-10-23 00:00:00,13.6,11,17,0,,,9.8,,1018.3,
2025-10-24 00:00:00,11.5,9,14,0.8,,,14.7,,1007.3,
2025-10-25 00:00:00,9.5,7,14,2.7,,,15.8,,1000.9,
2025-10-26 00:00:00,8.4,7,11,2.7,,,12,,1012,
2025-10-27 00:00:00,9,6,13,0.3,,,6.3,,1025.3,
2025-10-28 00:00:00,9.2,4,14,0,,,4.8,,1021.3,
2025-10-29 00:00:00,12.2,8,15,1.7,,,8.1,,1028.8,
2025-10-30 00:00:00,8.3,5,11,0,,,3.1,,1023.3,
2025-10-31 00:00:00,9.4,6,12,0.4,,,8.5,,1016.2,
2025-11-01 00:00:00,13.2,11,17,1.2,,,14.3,,1012,
2025-11-02 00:00:00,10.2,8,14,0.2,,,7.9,,1026.5,
2025-11-03 00:00:00,8.3,8,10,0.6,,,3.2,,1014.5,
2025-11-04 00:00:00,10.4,6,15,0.6,,,5.3,,1012.1,
2025-11-05 00:00:00,12.8,11,16,1.2,,,14.5,,1002.4,
2025-11-06 00:00:00,11.8,11,13,1.3,,,19.5,,1011.1,
2025-11-07 00:00:00,10.2,8,13,0,,,13,,1021.5,
2025-11-08 00:00:00,8.8,3,13,0,,,2.9,,1021.9,
2025-11-09 00:00:00,11.6,5,18.3,0,,,7.2,,1020.8,
2025-11-10 00:00:00,13.3,11,16,2.6,,,11.4,,1023.1,
2025-11-11 00:00:00,9.8,6,13,0,,,3.3,,1020.5,
2025-11-12 00:00:00,10.8,8,13,0.7,,,5.8,,1010.4,
2025-11-13 00:00:00,12.9,11,14,2,,,12.5,,1004,
2025-11-14 00:00:00,10.3,9,13,3.2,,,8.5,,1009.8,
2025-11-15 00:00:00,13,12,14,0.3,,,10.4,,1012.5,
2025-11-16 00:00:00,11.9,11,13,0.8,,,7.1,,1001.6,
