dataset_id,technology_id,relationship_type
D001,T001,generated_by
D001,T002,generated_by
D001,T003,generated_by
D001,T004,generated_by
D001,T005,generated_by
D001,T006,generated_by
D002,T007,generated_by
D002,T008,generated_by
D002,T009,generated_by
D002,T010,generated_by
D002,T011,generated_by
D003,T012,generated_by
D003,T013,generated_by
D003,T014,generated_by
D003,T015,generated_by
D003,T016,generated_by
D003,T017,generated_by
D003,T018,generated_by
D004,T019,generated_by
D004,T015,generated_by
D004,T020,generated_by
D004,T021,generated_by
D004,T022,generated_by
D005,T023,generated_by
D005,T024,generated_by
D005,T025,generated_by
D005,T026,generated_by
D005,T027,generated_by
D006,T028,generated_by
D006,T029,generated_by
D006,T030,generated_by
D006,T031,generated_by
D006,T032,generated_by
D007,T033,generated_by
D007,T034,generated_by
D007,T035,generated_by
D007,T036,generated_by
D007,T037,generated_by
D008,T038,generated_by
D008,T039,generated_by
D008,T040,generated_by
D008,T025,generated_by
D008,T041,generated_by
D009,T042,generated_by
D009,T043,generated_by
D009,T015,generated_by
D009,T044,generated_by
D009,T045,generated_by
D010,T046,generated_by
D010,T047,generated_by
D010,T015,generated_by
D010,T016,generated_by
D010,T048,generated_by
D010,T006,generated_by
D011,T049,generated_by
D011,T050,generated_by
D011,T039,generated_by
D011,T051,generated_by
D011,T036,generated_by
D011,T052,generated_by
D012,T053,generated_by
D012,T054,generated_by
D012,T015,generated_by
D012,T055,generated_by
D012,T056,generated_by
D013,T057,generated_by
D013,T058,generated_by
D013,T059,generated_by
D013,T060,generated_by
D013,T061,generated_by
D014,T062,generated_by
D014,T063,generated_by
D014,T064,generated_by
D014,T016,generated_by
D014,T065,generated_by
D015,T066,generated_by
D015,T050,generated_by
D015,T067,generated_by
D015,T052,generated_by
D016,T068,generated_by
D016,T015,generated_by
D016,T069,generated_by
D016,T070,generated_by
D016,T006,generated_by
D017,T003,generated_by
D017,T071,generated_by
D017,T015,generated_by
D017,T072,generated_by
D017,T073,generated_by
D018,T074,generated_by
D018,T015,generated_by
D018,T069,generated_by
D018,T036,generated_by
D018,T075,generated_by
D019,T076,generated_by
D019,T044,generated_by
D019,T059,generated_by
D019,T077,generated_by
D019,T078,generated_by
D019,T006,generated_by
D020,T079,generated_by
D020,T080,generated_by
D020,T081,generated_by
D020,T054,generated_by
D020,T015,generated_by
D020,T082,generated_by
