dataset_id,dataset_name,dataset_type,summary,data_modality,access_level,access_notes,sample_scope,dataset_url,active,last_updated
D001,Breast Cancer Multimodal Research Dataset (Seed),multimodal,Seed dataset entry representing the currently cataloged Breast Cancer data types from the temporary Cancer Types worksheet.,Clinical/EHR; breast imaging; pathology; molecular profiling; immune microenvironment; blood biomarkers,internal,Temporary seed entry derived from a manually curated spreadsheet; detailed access rules to be defined.,"Disease-specific patient cohorts, biospecimens, imaging studies, and linked molecular or laboratory measurements",,TRUE,2026-04-13
D002,Prostate Cancer Multimodal Research Dataset (Seed),multimodal,Seed dataset entry representing the currently cataloged Prostate Cancer data types from the temporary Cancer Types worksheet.,Clinical/EHR; PSA/labs; prostate imaging; pathology; genomics,internal,Temporary seed entry derived from a manually curated spreadsheet; detailed access rules to be defined.,"Disease-specific patient cohorts, biospecimens, imaging studies, and linked molecular or laboratory measurements",,TRUE,2026-04-13
D003,Lung Cancer Multimodal Research Dataset (Seed),multimodal,Seed dataset entry representing the currently cataloged Lung Cancer data types from the temporary Cancer Types worksheet.,Clinical/EHR; CT/PET/MRI; pathology; deep molecular profiling; radiomics/radiogenomics; liquid biopsy; immune biomarkers,internal,Temporary seed entry derived from a manually curated spreadsheet; detailed access rules to be defined.,"Disease-specific patient cohorts, biospecimens, imaging studies, and linked molecular or laboratory measurements",,TRUE,2026-04-13
D004,Colorectal Cancer Multimodal Research Dataset (Seed),multimodal,Seed dataset entry representing the currently cataloged Colorectal Cancer data types from the temporary Cancer Types worksheet.,Clinical/EHR; colonoscopy/endoscopy; pathology; molecular subtype; ctDNA/MRD; microbiome,internal,Temporary seed entry derived from a manually curated spreadsheet; detailed access rules to be defined.,"Disease-specific patient cohorts, biospecimens, imaging studies, and linked molecular or laboratory measurements",,TRUE,2026-04-13
D005,Melanoma Multimodal Research Dataset (Seed),multimodal,Seed dataset entry representing the currently cataloged Melanoma data types from the temporary Cancer Types worksheet.,Clinical/EHR; skin imaging; pathology; genomics; microbiome; CNS/CSF data,internal,Temporary seed entry derived from a manually curated spreadsheet; detailed access rules to be defined.,"Disease-specific patient cohorts, biospecimens, imaging studies, and linked molecular or laboratory measurements",,TRUE,2026-04-13
D006,Bladder Cancer Multimodal Research Dataset (Seed),multimodal,Seed dataset entry representing the currently cataloged Bladder Cancer data types from the temporary Cancer Types worksheet.,Clinical/EHR; urine data; cystoscopic imaging; pathology; genomics; radiology,internal,Temporary seed entry derived from a manually curated spreadsheet; detailed access rules to be defined.,"Disease-specific patient cohorts, biospecimens, imaging studies, and linked molecular or laboratory measurements",,TRUE,2026-04-13
D007,Kidney Cancer Multimodal Research Dataset (Seed),multimodal,Seed dataset entry representing the currently cataloged Kidney Cancer data types from the temporary Cancer Types worksheet.,Clinical/EHR; CT/MRI; pathology; genomics; blood/urine labs,internal,Temporary seed entry derived from a manually curated spreadsheet; detailed access rules to be defined.,"Disease-specific patient cohorts, biospecimens, imaging studies, and linked molecular or laboratory measurements",,TRUE,2026-04-13
D008,Non-Hodgkin Lymphoma Multimodal Research Dataset (Seed),multimodal,Seed dataset entry representing the currently cataloged Non-Hodgkin Lymphoma data types from the temporary Cancer Types worksheet.,Clinical/EHR; tissue pathology; flow/cytogenetics; molecular profiling; cell-therapy data,internal,Temporary seed entry derived from a manually curated spreadsheet; detailed access rules to be defined.,"Disease-specific patient cohorts, biospecimens, imaging studies, and linked molecular or laboratory measurements",,TRUE,2026-04-13
D009,Endometrial Cancer Multimodal Research Dataset (Seed),multimodal,Seed dataset entry representing the currently cataloged Endometrial Cancer data types from the temporary Cancer Types worksheet.,Clinical/EHR; pelvic imaging; pathology; molecular data; blood markers,internal,Temporary seed entry derived from a manually curated spreadsheet; detailed access rules to be defined.,"Disease-specific patient cohorts, biospecimens, imaging studies, and linked molecular or laboratory measurements",,TRUE,2026-04-13
D010,Pancreatic Cancer Multimodal Research Dataset (Seed),multimodal,Seed dataset entry representing the currently cataloged Pancreatic Cancer data types from the temporary Cancer Types worksheet.,Clinical/EHR; pancreas imaging; pathology; molecular data; serum/liquid biopsy; stromal/TME data,internal,Temporary seed entry derived from a manually curated spreadsheet; detailed access rules to be defined.,"Disease-specific patient cohorts, biospecimens, imaging studies, and linked molecular or laboratory measurements",,TRUE,2026-04-13
D011,Leukemia Multimodal Research Dataset (Seed),multimodal,Seed dataset entry representing the currently cataloged Leukemia data types from the temporary Cancer Types worksheet.,Clinical/EHR; CBC/labs; bone marrow data; flow/cytogenetics; molecular data; MRD,internal,Temporary seed entry derived from a manually curated spreadsheet; detailed access rules to be defined.,"Disease-specific patient cohorts, biospecimens, imaging studies, and linked molecular or laboratory measurements",,TRUE,2026-04-13
