researcher_id,full_name,title,department,center_program,email,profile_url,short_bio,lab_name,active,last_updated
R001,Sharon H. Giordano,,,,,,,,TRUE,2026-04-13
R002,Rashmi K. Murthy,,,,,,,,TRUE,2026-04-13
R003,Wendy A. Woodward,,,,,,,,TRUE,2026-04-13
R004,Christopher J. Logothetis,,,,,,,,TRUE,2026-04-13
R005,Ana Aparicio,,,,,,,,TRUE,2026-04-13
R006,Paul G. Corn,,,,,,,,TRUE,2026-04-13
R007,John V. Heymach,,,,,,,,TRUE,2026-04-13
R008,Jianjun Zhang,,,,,,,,TRUE,2026-04-13
R009,Don L. Gibbons,,,,,,,,TRUE,2026-04-13
R010,Scott Kopetz,,,,,,,,TRUE,2026-04-13
R011,Xiling Shen,,,,,,,,TRUE,2026-04-13
R012,Yi-Qian Nancy You,,,,,,,,TRUE,2026-04-13
R013,Michael A. Davies,,,,,,,,TRUE,2026-04-13
R014,Hussein A. Tawbi,,,,,,,,TRUE,2026-04-13
R015,Rodabe N. Amaria,,,,,,,,TRUE,2026-04-13
R016,Ashish M. Kamat,,,,,,,,TRUE,2026-04-13
R017,Neema Navai,,,,,,,,TRUE,2026-04-13
R018,Omar Alhalabi,,,,,,,,TRUE,2026-04-13
R019,Nizar M. Tannir,,,,,,,,TRUE,2026-04-13
R020,Eric Jonasch,,,,,,,,TRUE,2026-04-13
R021,Pavlos Msaouel,,,,,,,,TRUE,2026-04-13
R022,Jason Westin,,,,,,,,TRUE,2026-04-13
R023,Sairah Ahmed,,,,,,,,TRUE,2026-04-13
R024,Paolo Strati,,,,,,,,TRUE,2026-04-13
R025,Pamela T. Soliman,,,,,,,,TRUE,2026-04-13
R026,Shannon N. Westin,,,,,,,,TRUE,2026-04-13
R027,Larissa A. Meyer,,,,,,,,TRUE,2026-04-13
R028,Matthew H.G. Katz,,,,,,,,TRUE,2026-04-13
R029,Shubham Pant,,,,,,,,TRUE,2026-04-13
R030,Michael P. Kim,,,,,,,,TRUE,2026-04-13
R031,Hagop M. Kantarjian,,,,,,,,TRUE,2026-04-13
R032,Naval Daver,,,,,,,,TRUE,2026-04-13
R033,Courtney D. DiNardo,,,,,,,,TRUE,2026-04-13
R034,Jeffrey N. Myers,,,,,,,,TRUE,2026-04-13
R035,Andrew G. Sikora,,,,,,,,TRUE,2026-04-13
R036,Stephen Y. Lai,,,,,,,,TRUE,2026-04-13
R037,Steven I. Sherman,,,,,,,,TRUE,2026-04-13
R038,Maria E. Cabanillas,,,,,,,,TRUE,2026-04-13
R039,Mimi I. Hu,,,,,,,,TRUE,2026-04-13
R040,Ahmed O. Kaseb,,,,,,,,TRUE,2026-04-13
R041,Milind Javle,,,,,,,,TRUE,2026-04-13
R042,Yun Shin Chun,,,,,,,,TRUE,2026-04-13
R043,Robert Z. Orlowski,,,,,,,,TRUE,2026-04-13
R044,Krina K. Patel,,,,,,,,TRUE,2026-04-13
R045,Donna Weber,,,,,,,,TRUE,2026-04-13
R046,Jaffer A. Ajani,,,,,,,,TRUE,2026-04-13
R047,Mariela Blum Murphy,,,,,,,,TRUE,2026-04-13
R048,Brian D. Badgwell,,,,,,,,TRUE,2026-04-13
R049,Frederick F. Lang,,,,,,,,TRUE,2026-04-13
R050,Barbara J. O'Brien,,,,,,,,TRUE,2026-04-13
R051,Shiao-Pei Weathers,,,,,,,,TRUE,2026-04-13
R052,Wayne L. Hofstetter,,,,,,,,TRUE,2026-04-13
R053,Stephen G. Swisher,,,,,,,,TRUE,2026-04-13
R054,Anil K. Sood,,,,,,,,TRUE,2026-04-13
R055,Amir A. Jazaeri,,,,,,,,TRUE,2026-04-13
R056,Kathleen M. Schmeler,,,,,,,,TRUE,2026-04-13
R057,Lois M. Ramondetta,,,,,,,,TRUE,2026-04-13
R058,Jeffrey How,,,,,,,,TRUE,2026-04-13
