technology_id,technology_name,technology_category,summary,measurement_focus,vendor_platform,technology_url,active,last_updated
T001,Mammography,imaging,Seed measurement technology entry derived from the temporary 'Cancer Types' worksheet.,"anatomy, tumor burden, or radiologic phenotype",,,TRUE,4/13/2026
T002,Ultrasound,imaging,Seed measurement technology entry derived from the temporary 'Cancer Types' worksheet.,"anatomy, tumor burden, or radiologic phenotype",,,TRUE,4/13/2026
T003,MRI,imaging,Seed measurement technology entry derived from the temporary 'Cancer Types' worksheet.,"anatomy, tumor burden, or radiologic phenotype",,,TRUE,4/13/2026
T004,Biopsy/Resection with H&E/IHC,pathology/cytology,Seed measurement technology entry derived from the temporary 'Cancer Types' worksheet.,"anatomy, tumor burden, or radiologic phenotype",,,TRUE,4/13/2026
T005,NGS/RNA Profiling,sequencing/genomic profiling,Seed measurement technology entry derived from the temporary 'Cancer Types' worksheet.,DNA/RNA alterations and molecular subtype,,,TRUE,4/13/2026
T006,cfDNA/ctDNA,liquid biopsy/fluid profiling,Seed measurement technology entry derived from the temporary 'Cancer Types' worksheet.,"anatomy, tumor burden, or radiologic phenotype",,,TRUE,4/13/2026
T007,PSA Testing,biomarker/molecular assay,Seed measurement technology entry derived from the temporary 'Cancer Types' worksheet.,clinical laboratory biomarkers,,,TRUE,4/13/2026
T008,Multiparametric MRI,imaging,Seed measurement technology entry derived from the temporary 'Cancer Types' worksheet.,"anatomy, tumor burden, or radiologic phenotype",,,TRUE,4/13/2026
T009,Biopsy Pathology (H&E/IHC),pathology/cytology,Seed measurement technology entry derived from the temporary 'Cancer Types' worksheet.,tissue morphology and protein-marker pathology,,,TRUE,4/13/2026
T010,PSMA PET/CT (as indicated),imaging,Seed measurement technology entry derived from the temporary 'Cancer Types' worksheet.,"anatomy, tumor burden, or radiologic phenotype",,,TRUE,4/13/2026
T011,Tissue/Plasma Genomic Profiling,sequencing/genomic profiling,Seed measurement technology entry derived from the temporary 'Cancer Types' worksheet.,DNA/RNA alterations and molecular subtype,,,TRUE,4/13/2026
