"facility_id","common_name","address","city","zip_code","block_lot","owned_leased","dept_id_for_jurisdiction","jurisdiction","gross_sq_ft","longitude","latitude","supervisor_district","city_tenants","land_id","geom","data_last_updated","data_as_of","data_loaded_at"
"3389","ELECTRICAL SUBSTATION BB - 787-BB",,"San Francisco","94128",,"Own","34","Airport (Sfo)",,"-122.39691617699998","37.63151271300006",,,"635","POINT (-122.396916177 37.631512713)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3407","AIR TRAIN TERMINAL T1 - 279","279 UPPER DOMESTIC LOOP","San Francisco","94128",,"Own","34","Airport (Sfo)",,"-122.38567423999996","37.61518349500005",,,"635","POINT (-122.38567424 37.615183495)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3185","SE DIGEST GROUP #1 CTRL- 620","1700 Jerrold Ave","San Francisco","94124","5313002","Own","47","Public Utilities Commission",,"-122.39015065699999","37.74218902500007","10",,"792","POINT (-122.390150657 37.742189025)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1489","Fox Plaza","1390 Market St","San Francisco","94102","0813007","Lease","9","Non-City",,"-122.41744218199995","37.77717442900007","6","City Attorney: Public Health: Children Youth And Families: Human Services Agency","1,129","POINT (-122.417442182 37.777174429)","2017/12/21 10:38:28 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1035","Lower Shang","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85613576899999","37.881269985000074",,,"1,199","POINT (-119.856135769 37.881269985)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1648","Stern Grove - New Stage","2899 19TH AVE","San Francisco","94132","2488001","Own","49","Recreation And Parks","1,134","-122.47926297899994","37.73614553200008","4",,"74","POINT (-122.479262979 37.736145532)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"331","Cabin #71","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85373773099997","37.880830367000044",,,"1,199","POINT (-119.853737731 37.880830367)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"533","Corp Yard Gas Station","100 Martin Luther King Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks","5,929","-122.46061627999995","37.76894882000005","7",,"56","POINT (-122.46061628 37.76894882)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"832","H. Hetchy-Warnerville Substation/Switchyard","10501 Warnerville Rd","Oakdale","95361",,"Own","47","Public Utilities Commission","1,835","-120.80243618999998","37.74159451200006",,,"1,204","POINT (-120.80243619 37.741594512)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1073","Maxine Hall Health Center","1301 Pierce St","San Francisco","94115","0728005A","Own","72","Public Health","20,590","-122.43603595199994","37.78223856200003","5",,"363","POINT (-122.436035952 37.782238562)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"2020","Pier 90 - Maintenance Bldg","Cargo Way","San Francisco","94124","4502A002","Own","46","Port","1,260","-122.37779736899995","37.74383117200006","10",,"783","POINT (-122.377797369 37.743831172)","2018/01/18 10:07:25 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1669","Strybing Pump Stn","Lincoln Way and 09th Ave","San Francisco","94117","1263011","Own","49","Recreation And Parks","702","-122.46694192199999","37.766102008000075","7",,"56","POINT (-122.466941922 37.766102008)","2019/02/11 07:26:15 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1068","Mather Bath House C","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85305408999994","37.88096186000007",,,"1,199","POINT (-119.85305409 37.88096186)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"625","Earl P. Mills Community Center","100 WHITNEY YOUNG CIR","San Francisco","94124","4711006","Own","52","Human Services Agency","15,000","-122.38400188599996","37.73416123000004","10",,"592","POINT (-122.384001886 37.73416123)","2024/10/28 06:24:32 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
